Date,Open,High,Low,Close,Volume
11-06-2024,1527.50,1527.50,1527.50,1527.50,0.00
10-06-2024,1550.40,1550.40,1550.40,1550.40,0.00
07-06-2024,1591.70,1591.70,1591.70,1591.70,0.00
06-06-2024,1608.50,1608.50,1608.50,1608.50,0.00
05-06-2024,1632.20,1632.20,1632.20,1632.20,0.00
04-06-2024,1667.50,1667.50,1667.50,1667.50,0.00
03-06-2024,1702.10,1702.10,1702.10,1702.10,0.00
31-05-2024,1705.00,1705.00,1705.00,1705.00,0.00
30-05-2024,1728.40,1728.40,1728.40,1728.40,0.00
29-05-2024,1717.50,1717.50,1717.50,1717.50,0.00
28-05-2024,1703.30,1703.30,1703.30,1703.30,0.00
27-05-2024,1710.00,1710.00,1710.00,1710.00,0.00
24-05-2024,1714.30,1714.30,1714.30,1714.30,0.00
23-05-2024,1757.30,1757.30,1757.30,1757.30,0.00
22-05-2024,1783.10,1783.10,1783.10,1783.10,0.00
21-05-2024,1746.70,1746.70,1746.70,1746.70,0.00
20-05-2024,1746.70,1746.70,1746.70,1746.70,0.00
17-05-2024,1650.00,1650.00,1650.00,1650.00,0.00
16-05-2024,1628.60,1628.60,1628.60,1628.60,0.00
15-05-2024,1618.70,1618.70,1618.70,1618.70,0.00
14-05-2024,1610.80,1610.80,1610.80,1610.80,0.00
13-05-2024,1613.20,1613.20,1613.20,1613.20,0.00
