Date,Price
2023-02-01,61298.64
2023-02-02,61431.46
2023-02-03,60939.04
2023-02-06,60489.03
2023-02-07,59958.82
2023-02-08,59887.86
2023-02-09,59622.60
2023-02-10,59380.32
2023-02-13,59017.83
2023-02-14,58446.36
2023-02-15,58016.69
2023-02-16,57280.15
2023-02-17,55552.21
2023-02-20,54469.33
2023-02-21,53892.24
2023-02-22,52768.64
2023-02-23,51280.97
2023-02-24,51312.85
2023-02-27,49925.99
2023-02-28,49709.46
2023-03-01,48519.55
2023-03-02,48101.01
2023-03-03,47373.82
2023-03-06,47167.01
2023-03-07,46835.24
2023-03-08,46013.88
2023-03-09,44015.33
2023-03-10,43387.03
2023-03-13,42988.12
2023-03-14,42547.80
2023-03-15,42005.76
2023-03-16,41016.98
2023-03-17,40113.41
2023-03-20,38840.97
2023-03-21,37965.47
2023-03-22,37090.48
2023-03-23,35870.15
2023-03-24,35592.89
2023-03-27,34772.83
2023-03-28,33854.07
2023-03-29,33071.15
2023-03-30,32116.68
2023-03-31,30650.27
2023-04-03,29003.35
2023-04-04,28210.79
2023-04-06,27676.19
2023-04-07,26996.82
2023-04-10,26639.79
2023-04-11,25694.83
2023-04-12,25448.23
2023-04-13,25198.64
2023-04-14,24895.27
2023-04-17,24095.68
2023-04-18,23919.81
2023-04-19,23176.16
2023-04-20,22897.73
2023-04-21,22976.00
2023-04-24,22948.30
2023-04-25,22687.22
2023-04-26,22878.96
2023-04-27,22888.88
2023-04-28,22877.97
2023-05-04,23003.67
2023-05-05,23111.74
2023-05-08,24312.67
2023-05-09,24981.42
2023-05-10,26625.68
2023-05-11,28815.07
2023-05-12,30822.71
2023-05-15,32778.96
2023-05-16,33740.00
2023-05-17,34764.85
2023-05-18,36679.74
2023-05-19,36728.51
2023-05-22,36832.69
2023-05-23,36744.17
2023-05-24,36998.58
2023-05-25,37014.84
2023-05-26,36894.00
2023-05-29,36990.71
2023-05-30,37176.19
2023-05-31,37487.01
2023-06-01,37473.29
2023-06-02,37487.02
2023-06-05,37817.55
2023-06-06,38162.36
2023-06-07,38532.54
2023-06-08,38673.36
2023-06-09,38949.75
2023-06-12,38896.70
2023-06-13,38741.10
2023-06-14,38704.29
2023-06-15,38745.98
2023-06-16,38978.82
2023-06-19,39027.00
2023-06-20,38749.88
2023-06-21,38580.84
2023-06-26,38256.87
2023-06-27,38050.47
2023-06-28,37742.04
2023-06-29,37624.84
2023-06-30,37598.80
2023-07-03,37651.43
2023-07-04,37770.85
2023-07-05,37811.79
2023-07-06,37743.61
2023-07-07,37766.66
2023-07-10,37833.87
2023-07-11,37854.92
2023-07-12,37733.78
2023-07-13,37673.75
2023-07-14,37660.07
2023-07-17,37283.63
2023-07-18,37031.58
2023-07-19,36643.10
2023-07-20,36343.79
2023-07-21,35667.72
2023-07-24,35360.58
2023-07-25,35196.96
2023-07-26,35003.51
2023-07-27,34831.98
2023-07-28,34548.23
2023-07-31,34440.11
2023-08-01,34016.23
2023-08-02,33355.72
2023-08-03,32925.13
2023-08-04,32526.94
2023-08-07,31800.39
2023-08-08,31285.38
2023-08-09,30780.85
2023-08-10,30538.74
2023-08-11,30163.19
2023-08-14,29566.01
2023-08-15,28854.04
2023-08-16,28274.92
2023-08-17,27809.88
2023-08-18,27652.56
2023-08-21,27659.86
2023-08-22,27657.94
2023-08-23,27659.48
2023-08-24,27698.72
2023-08-25,27453.66
2023-08-28,27094.50
2023-08-29,26418.98
2023-08-30,25938.95
2023-08-31,25632.67
2023-09-01,25332.70
2023-09-04,25333.41
2023-09-05,25026.26
2023-09-06,24654.17
2023-09-07,24463.95
2023-09-08,24224.36
2023-09-11,23795.73
2023-09-12,23480.48
2023-09-13,23264.34
2023-09-14,23209.25
